Rank,Name,Net Worth (billions of dollars),Age,Source,Country,real source,some wealth inheritance,major wealth inheritance
#1349,Saif Al Ghurair,1.7,95,diversified,United Arab Emirates,,,
#1349,Syed Mokhtar AlBukhary,1.7,67,"engineering, energy, construction",Malaysia,,,
#1349,Anil Ambani,1.7,60,diversified,India,,,
#1349,Patricia Angelini Rossi,1.7,65,"forestry, mining",Chile,,,
#1349,Sezai Bacaksiz,1.7,69,diversified,Turkey,,,
#1349,Angela Bennett,1.7,75,mining,Australia,,,
#1349,David Booth,1.7,73,mutual funds,United States,,,
#1349,Tatiana Casiraghi,1.7,35,beer,Monaco,,,
#1349,Michel Chalhoub,1.7,87,retail,France,,,
#1349,Binod Chaudhary,1.7,64,diversified,Nepal,,,
#1349,Chen Fashu,1.7,58,investments,China,,,
#1349,Tony Chen,1.7,70,electronics,Taiwan,,,
#1349,Kommer Damen,1.7,75,shipbuilding,Netherlands,,,
#1349,Benjamin de Rothschild,1.7,55,banking,Switzerland,,,
#1349,Dominique Desseigne,1.7,74,casinos,France,,,
#1349,Paul Foster,1.7,61,oil refining,United States,,,
#1349,Fu Guangming,1.7,65,poultry,China,,,
#1349,Mario Gabelli,1.7,77,money management,United States,,,
#1349,Peter Gassner,1.7,54,software,United States,,,
#1349,Dennis Gillings,1.7,75,drug testing,United Kingdom,,,
#1349,Shmuel Harlap,1.7,74,automotive,Israel,,,
#1349,Asok Kumar Hiranandani,1.7,64,real estate,Singapore,,,
#1349,Ho Hung Anh,1.7,49,"consumer products, banking",Vietnam,,,
#1349,Reid Hoffman,1.7,51,LinkedIn,United States,,,
#1349,Hu Baifan,1.7,56,pharmaceuticals,China,,,
#1349,Hal Jackman,1.7,87,"insurance, investments",Canada,,,
#1349,Bradley Jacobs,1.7,63,logistics,United States,,,
#1349,Jiang Bin,1.7,52,acoustic components,China,,,
#1349,Manuel Jove,1.7,78,real estate,Spain,,,
#1349,Ke Xiping,1.7,59,investments,China,,,
#1349,Kim Jun-ki,1.7,74,diversified,South Korea,,,
#1349,Kim Taek-jin,1.7,52,online games,South Korea,,,
#1349,Suna Kirac,1.7,78,diversified,Turkey,,,
#1349,Alexander Klyachin,1.7,52,real estate,Russia,,,
#1349,Kong Jian Min,1.7,51,real estate,China,,,
#1349,"Andre Koo, Sr.",1.7,52,financial services,Taiwan,,,
#1349,Koon Poh Keong,1.7,58,aluminum,Malaysia,,,
#1349,Sebastian Kulczyk,1.7,38,diversified,Poland,,,
#1349,Lee Joong-keun,1.7,78,"construction, real estate",South Korea,,,
#1349,Lee Seo-hyun,1.7,45,"computer services, tourism",South Korea,,,
#1349,Peter Leibinger,1.7,52,machine tools,Germany,,,
#1349,Regine Leibinger,1.7,56,machine tools,Germany,,,
#1349,Wolfgang Leitner,1.7,66,engineering,Austria,,,
#1349,Jimmy John Liautaud,1.7,55,sandwich chain,United States,,,
#1349,Lim Oon Kuin,1.7,75,oil trading,Singapore,,,
#1349,Bill Liu,1.7,36,electronics,China,,,
#1349,Catherine Lozick,1.7,74,valve manufacturing,United States,,,
#1349,Gary Michelson,1.7,70,medical patents,United States,,,
#1349,Yoshiko Mori,1.7,78,real estate,Japan,,,
#1349,Mofatraj Munot,1.7,74,real estate,India,,,
#1349,Nihat Ozdemir,1.7,69,diversified,Turkey,,,
#1349,Pierre Karl Péladeau,1.7,57,media,Canada,,,
#1349,Tor Peterson,1.7,54,commodities,United States,,,
#1349,Theodore Rachmat,1.7,75,diversified,Indonesia,,,
#1349,"Julio Mario Santo Domingo, III.",1.7,34,beer,United States,,,
#1349,Antonio Luiz Seabra,1.7,76,cosmetics,Brazil,,,
#1349,Martua Sitorus,1.7,59,palm oil,Indonesia,,,
#1349,Peter Sondakh,1.7,69,investments,Indonesia,,,
#1349,Henry Swieca,1.7,62,hedge funds,United States,,,
#1349,Jeffrey Talpins,1.7,44,hedge fund,United States,,,
#1349,Clemens Toennies,1.7,63,meat processing,Germany,,,
#1349,Robert Toennies,1.7,41,meat processing,Germany,,,
#1349,Ivar Tollefsen,1.7,58,real estate,Norway,,,
#1349,Tran Ba Duong,1.7,59,automotive,Vietnam,,,
#1349,Tseng Cheng,1.7,57,petrochemicals,Taiwan,,,
#1349,Vardis Vardinoyannis,1.7,86,oil and gas,Greece,,,
#1349,Ricardo Villela Marino,1.7,45,banking,Brazil,,,
#1349,Myron Wentz,1.7,79,health products,St. Kitts and Nevis,,,
#1349,Wong Luen Hei,1.7,57,building materials,China,,,
#1349,Horst Wortmann,1.7,78,footwear,Germany,,,
#1349,Gordon Wu,1.7,83,real estate,Hong Kong,,,
#1349,Wu Guangming,1.7,57,medical equipment,China,,,
#1349,Wu Kaiting,1.7,49,electronics,Hong Kong,,,
#1349,Yang Erzhu,1.7,68,real estate,China,,,
#1349,Yu Huijiao,1.7,53,package delivery,China,,,
#1425,Faisal Bin Qassim Al Thani,1.6,71,"hotels, diversified",Qatar,,,
#1425,Bill Alfond,1.6,71,shoes,United States,,,
#1425,Susan Alfond,1.6,74,shoes,United States,,,
#1425,Ted Alfond,1.6,74,shoes,United States,,,
#1425,Isak Andic,1.6,65,fashion retail,Spain,,,
#1425,Vasily Anisimov,1.6,67,real estate,Russia,,,
#1425,Michael Ashcroft,1.6,73,security,United Kingdom,,,
#1425,Miriam Baumann-Blocher,1.6,44,chemicals,Switzerland,,,
#1425,Nicolas Berggruen,1.6,57,investments,United States,,,
#1425,O. Francis Biondi,1.6,55,hedge funds,United States,,,
#1425,Vladimir Bogdanov,1.6,68,oil,Russia,,,
#1425,Peter Buck,1.6,88,Subway sandwich shops,United States,,,
#1425,Cen Junda,1.6,55,pharmaceuticals,China,,,
#1425,Chen Liying,1.6,43,package delivery,China,,,
#1425,Chen Xueli,1.6,67,pharmaceuticals,China,,,
#1425,Ivan Chrenko,1.6,52,real estate,Slovakia,,,
#1425,Turgay Ciner,1.6,63,diversified,Turkey,,,
#1425,Brunello Cucinelli,1.6,65,fashion,Italy,,,
#1425,Sol Daurella,1.6,53,Coca-Cola,Spain,,,
#1425,Carl Douglas,1.6,58,investments,Sweden,,,
#1425,Eric Douglas,1.6,51,investments,Sweden,,,
#1425,Du Shuanghua,1.6,54,steel,China,,,
#1425,Bulent Eczacibasi,1.6,69,"pharmaceuticals, diversified",Turkey,,,
#1425,Eduardo Eurnekian,1.6,86,"airports, investments",Argentina,,,
#1425,Marcos Galperin,1.6,-,e-commerce,Argentina,,,
#1425,Sanjiv Goenka,1.6,58,diversified,India,,,
#1425,Christopher Goldsbury,1.6,76,salsa,United States,,,
#1425,Ryan Graves,1.6,36,uber,United States,,,
#1425,Lutz Mario Helmig,1.6,72,hospitals,Germany,,,
#1425,Christoph Henkel,1.6,61,consumer goods,Germany,,,
#1425,Brian Higgins,1.6,54,hedge funds,United States,,,
#1425,Alan Howard,1.6,55,hedge funds,United Kingdom,,,
#1425,Douglas Hsu,1.6,76,diversified,Taiwan,,,
#1425,Huang Wei,1.6,59,real estate,China,,,
#1425,Huang Yi,1.6,57,car dealerships,Hong Kong,,,
#1425,Devendra Jain,1.6,90,chemicals,India,,,
#1425,Stephen Jarislowsky,1.6,93,money management,Canada,,,
#1425,Jia Tianjiang,1.6,57,non-ferrous metals,China,,,
#1425,George Joseph,1.6,97,insurance,United States,,,
#1425,Eiichi Kuriwada,1.6,72,package delivery,Japan,,,
#1425,Manuel Lao Hernandez,1.6,75,casinos,Spain,,,
#1425,Lee Myung-hee,1.6,75,retail,South Korea,,,
#1425,Lin Fanlian,1.6,58,"energy, real estate",China,,,
#1425,Lin Jianhua,1.6,56,solar panel components,China,,,
#1425,Tobi Lutke,1.6,39,e-commerce,Canada,,,
#1425,Prayudh Mahagitsiri,1.6,73,"coffee, shipping",Thailand,,,
#1425,Anand Mahindra,1.6,64,automobiles,India,,,
#1425,Gilles Martin,1.6,55,laboratory services,France,,,
#1425,David McMurtry,1.6,79,manufacturing,United Kingdom,,,
#1425,Martin Moller Nielsen,1.6,54,aircraft leasing,Denmark,,,
#1425,Massimo Moratti,1.6,74,oil refinery,Italy,,,
#1425,Mario Moretti Polegato,1.6,66,shoes,Italy,,,
#1425,Charles Munger,1.6,95,Berkshire Hathaway,United States,,,
#1425,Craig Newmark,1.6,66,Craigslist,United States,,,
#1425,Gretel Packer,1.6,53,casinos,Australia,,,
#1425,Erik Paulsson,1.6,77,"construction, real estate",Sweden,,,
#1425,Nelson Peltz,1.6,77,investments,United States,,,
#1425,Gregorio Perez Companc,1.6,83,oil & gas,Argentina,,,
#1425,Markus Persson,1.6,40,computer games,Sweden,,,
#1425,Mahendra Prasad,1.6,79,pharmaceuticals,India,,,
#1425,Abdulsamad Rabiu,1.6,58,"cement, sugar",Nigeria,,,
#1425,Jerry Reinsdorf,1.6,83,sports teams,United States,,,
#1425,Ren Zhengfei,1.6,75,telecom equipment,China,,,
#1425,Vito Rodriguez Rodriguez,1.6,80,processed milk,Peru,,,
#1425,Sheryl Sandberg,1.6,49,Facebook,United States,,,
#1425,Gerald Schwartz,1.6,77,finance,Canada,,,
#1425,Yuri Shefler,1.6,51,alcohol,Russia,,,
#1425,Shi Wen-long,1.6,91,plastics,Taiwan,,,
#1425,Rajju Shroff,1.6,85,agrochemicals,India,,,
#1425,Ben Silbermann,1.6,37,Pinterest,United States,,,
#1425,Thomas Steyer,1.6,62,hedge funds,United States,,,
#1425,Alexander Tedja,1.6,73,real estate,Indonesia,,,
#1425,Jim Thompson,1.6,79,logistics,United States,,,
#1425,Luiza Helena Trajano,1.6,67,retail chain,Brazil,,,
#1425,Roman Trotsenko,1.6,48,"transport, engineering, real estate",Russia,,,
#1425,Hamdi Ulukaya,1.6,46,greek yogurt,Turkey,,,
#1425,Rodolfo Villela Marino,1.6,43,banking,Brazil,,,
#1425,Wang Xicheng,1.6,70,tires,China,,,
#1425,Evan Williams,1.6,47,Twitter,United States,,,
#1425,Swift Xie,1.6,-,drones,China,,,
#1425,Xue Xiangdong,1.6,60,software,China,,,
#1425,Yi Rubo,1.6,42,real estate,China,,,
#1425,Zeng Fangqin,1.6,53,smartphone components,China,,,
#1425,Zhong Huijuan,1.6,58,pharmaceuticals,China,,,
#1425,Zhong Sheng Jian,1.6,61,real estate,Singapore,,,
#1425,Zhu Xingliang,1.6,60,construction,China,,,
#1511,Antti Aarnio-Wihuri,1.5,79,diversified,Finland,,,
#1511,Lia Maria Aguiar,1.5,81,banking,Brazil,,,
#1511,Mohamed Al Fayed,1.5,90,"retail, investments",Egypt,,,
#1511,Roman Avdeev,1.5,52,"banking, development",Russia,,,
#1511,Louis Bacon,1.5,62,hedge funds,United States,,,
#1511,Alex Beard,1.5,51,"mining, commodities",United Kingdom,,,
#1511,Andrei Bokarev,1.5,52,"metals, mining",Russia,,,
#1511,Josef Boquoi,1.5,85,frozen foods,Germany,,,
#1511,Ana Maria Brescia Cafferata,1.5,95,"mining, banking",Peru,,,
#1511,Ron Burkle,1.5,66,"supermarkets, investments",United States,,,
#1511,Saket Burman,1.5,42,consumer goods,United Kingdom,,,
#1511,Chang Pyung-soon,1.5,68,educational services,South Korea,,,
#1511,Cheung Yan,1.5,62,paper manufacturing,China,,,
#1511,Fernando Chico Pardo,1.5,67,airport management,Mexico,,,
#1511,Yvon Chouinard,1.5,80,Patagonia,United States,,,
#1511,Chua Thian Poh,1.5,71,real estate,Singapore,,,
#1511,Alberto Cortina,1.5,73,investments,Spain,,,
#1511,Luigi Cremonini,1.5,80,meat processing,Italy,,,
#1511,Cui Genliang,1.5,61,electric components,China,,,
#1511,D. Leopoldo Del Pino y Calvo-Sotelo,1.5,56,construction,Spain,,,
#1511,Maria Del Pino y Calvo-Sotelo,1.5,63,construction,Spain,,,
#1511,K. Dinesh,1.5,65,software services,India,,,
#1511,Du Weimin,1.5,55,vaccines,China,,,
#1511,Faruk Eczacibasi,1.5,65,"pharmaceuticals, diversified",Turkey,,,
#1511,N. Murray Edwards,1.5,59,oil & gas,Canada,,,
#1511,Daniel Feffer,1.5,59,pulp and paper,Brazil,,,
#1511,David Feffer,1.5,62,pulp and paper,Brazil,,,
#1511,Ruben Feffer,1.5,49,pulp and paper,Brazil,,,
#1511,Stephen Feinberg,1.5,59,private equity,United States,,,
#1511,Kathy Fields,1.5,61,skin care,United States,,,
#1511,Bernd Freier,1.5,62,fashion retail,Germany,,,
#1511,Fu Kwan,1.5,61,"real estate, diversified",China,,,
#1511,Rolf Gerling,1.5,64,insurance,Germany,,,
#1511,Peter Grogg,1.5,77,Biochemicals,Switzerland,,,
#1511,Bill Gross,1.5,75,investments,United States,,,
#1511,David Harding,1.5,57,finance,United Kingdom,,,
#1511,Timothy Headington,1.5,69,"oil & gas, investments",United States,,,
#1511,Gudrun Heine,1.5,64,medical devices,Germany,,,
#1511,Hoi Kin Hong,1.5,66,real estate,Macau,,,
#1511,Anurang Jain,1.5,57,auto parts,India,,,
#1511,Hamilton James,1.5,67,investments,United States,,,
#1511,"Jim Justice, II.",1.5,68,coal,United States,,,
#1511,Seth Klarman,1.5,62,investments,United States,,,
#1511,Lam Kong,1.5,55,pharmaceuticals,China,,,
#1511,Anthony Langley,1.5,64,manufacturing,United Kingdom,,,
#1511,Lee Ho-jin,1.5,56,diversified,South Korea,,,
#1511,Lee Jay-hyun,1.5,59,"food products, entertainment",South Korea,,,
#1511,Nicola Leibinger-Kammueller,1.5,59,manufacturing,Germany,,,
#1511,Bernard Lewis,1.5,93,fashion retailer,United Kingdom,,,
#1511,Jeffrey Lorberbaum,1.5,64,flooring,United States,,,
#1511,Daniel Lubetzky,1.5,50,KIND Healthy Snacks,United States,,,
#1511,Yasseen Mansour,1.5,57,diversified,Egypt,,,
#1511,Billy Joe (Red) McCombs,1.5,91,"real estate, oil, cars, sports",United States,,,
#1511,Jim McKelvey,1.5,53,mobile payments,United States,,,
#1511,Robert Mouawad,1.5,74,fine jewelry,Lebanon,,,
#1511,Marius Nacht,1.5,53,software,Israel,,,
#1511,Ezra Nahmad,1.5,73,art,Monaco,,,
#1511,Oei Hong Leong,1.5,71,investments,Singapore,,,
#1511,Lirio Parisotto,1.5,65,investments,Brazil,,,
#1511,Pei Zhenhua,1.5,60,batteries,China,,,
#1511,Roger Penske,1.5,82,cars,United States,,,
#1511,Jose Isaac Peres,1.5,79,shopping malls,Brazil,,,
#1511,Forrest Preston,1.5,86,health care,United States,,,
#1511,Qiu Jianping,1.5,57,hand tools,China,,,
#1511,Matthias Reinhart,1.5,59,finance,Switzerland,,,
#1511,Chad Richison,1.5,48,payroll processing,United States,,,
#1511,Katie Rodan,1.5,64,skin care,United States,,,
#1511,Ruan Shuilong,1.5,83,chemicals,China,,,
#1511,Ivan Savvidis,1.5,60,agribusiness,Russia,,,
#1511,Martin Selig,1.5,81,real estate,United States,,,
#1511,Neil Shen,1.5,51,venture capital,Hong Kong,,,
#1511,Shi Yuzhu,1.5,56,"online games, investments",China,,,
#1511,Evgeny (Eugene) Shvidler,1.5,55,"oil & gas, investments",United States,,,
#1511,Leonid Simanovsky,1.5,70,investments,Russia,,,
#1511,Jerzy Starak,1.5,71,pharmaceuticals,Poland,,,
#1511,Sybill Storz,1.5,82,medical devices,Germany,,,
#1511,Satoshi Suzuki,1.5,65,cosmetics,Japan,,,
#1511,Tian Ming,1.5,65,measuring instruments,China,,,
#1511,Kenneth Tuchman,1.5,59,outsourcing,United States,,,
#1511,John Whittaker,1.5,77,real estate,United Kingdom,,,
#1511,Stephen Winn,1.5,72,real estate services,United States,,,
#1511,Ian Wood,1.5,76,energy services,United Kingdom,,,
#1511,Wu Guanjiang,1.5,50,pharmaceuticals,China,,,
#1511,Jihan Wu,1.5,33,cryptocurrency mining chips,China,,,
#1511,Xiao Yongming,1.5,55,fertilizer,China,,,
#1511,Xie Zhikun,1.5,58,investments,China,,,
#1511,Luis Enrique Yarur Rey,1.5,68,banking,Chile,,,
#1511,Vladimir Yevtushenkov,1.5,70,"telecom, investments",Russia,,,
#1511,Yu Peidi,1.5,59,real estate,Hong Kong,,,
#1511,Gavril Yushvaev,1.5,61,"precious metals, real estate",Russia,,,
#1511,Zhang Daocai,1.5,69,valves,China,,,
#1511,Zhang Tao,1.5,46,e-commerce,China,,,
#1511,Kostyantin Zhevago,1.5,45,mining,Ukraine,,,
#1511,Zhou Jian,1.5,42,robotics,China,,,
#1605,Farkhad Akhmedov,1.4,63,investments,Russia,,,
#1605,Alberto Alcocer,1.4,76,investments,Spain,,,
#1605,Kutayba Alghanim,1.4,73,diversified,Kuwait,,,
#1605,Alexandra Andresen,1.4,22,investments,Norway,,,
#1605,Katharina Andresen,1.4,24,investments,Norway,,,
#1605,Edmund Ansin,1.4,83,television,United States,,,
#1605,Nigel Austin,1.4,48,retail,Australia,,,
#1605,Mehmet Aydinlar,1.4,62,hospitals,Turkey,,,
#1605,Lesley Bamberger,1.4,54,real estate,Netherlands,,,
#1605,Pavel Baudis,1.4,59,software,Czech Republic,,,
#1605,Eduardo Belmont Anderson,1.4,73,cosmetics,Peru,,,
#1605,John Bloor,1.4,76,"real estate, manufacturing",United Kingdom,,,
#1605,Brett Blundy,1.4,59,"retail, agribusiness",Australia,,,
#1605,Nicola Bulgari,1.4,78,luxury goods,Italy,,,
#1605,Amit Burman,1.4,50,consumer goods,India,,,
#1605,Edouard Carmignac,1.4,71,asset management,France,,,
#1605,Herb Chambers,1.4,77,car dealerships,United States,,,
#1605,Chao Teng-hsiung,1.4,74,real estate,Taiwan,,,
#1605,Henry Cheng,1.4,72,diversified,Hong Kong,,,
#1605,Daniel Chiu,1.4,58,oil & gas,Hong Kong,,,
#1605,Eduardo Cojuangco,1.4,84,"food, drinks",Philippines,,,
#1605,"Robert Coyiuto, Jr.",1.4,66,power,Philippines,,,
#1605,Diego Della Valle,1.4,65,shoes,Italy,,,
#1605,Norbert Dentressangle,1.4,65,"transport, logistics",France,,,
#1605,Bharat Desai,1.4,66,IT consulting,United States,,,
#1605,Beda Diethelm,1.4,78,hearing aids,Switzerland,,,
#1605,Dou Zhenggang,1.4,66,"energy, chemicals",China,,,
#1605,John Edson,1.4,87,leisure craft,United States,,,
#1605,Bob Ell,1.4,74,real estate,Australia,,,
#1605,Gabriel Escarrer,1.4,84,hotels,Spain,,,
#1605,Michael Federmann,1.4,75,"defense, hotels",Israel,,,
#1605,Jorge Feffer,1.4,54,pulp and paper,Brazil,,,
#1605,Gary Fegel,1.4,45,"commodities, investments",Switzerland,,,
#1605,Robert Fisher,1.4,65,Gap,United States,,,
#1605,William Fisher,1.4,62,Gap,United States,,,
#1605,Martha Ford,1.4,93,Ford Motor,United States,,,
#1605,Alan Gerry,1.4,90,cable television,United States,,,
#1605,Gerry Harvey,1.4,79,retail,Australia,,,
#1605,Ilkka Herlin,1.4,60,"elevators, escalators",Finland,,,
#1605,J. Tomilson Hill,1.4,71,investments,United States,,,
#1605,Niranjan Hiranandani,1.4,69,real estate,India,,,
#1605,Hu Kaijun,1.4,57,pharmaceuticals,China,,,
#1605,Hu Yangzhong,1.4,54,technology,China,,,
#1605,Huang Qiaoling,1.4,60,amusement parks,China,,,
#1605,"B. Wayne Hughes, Jr.",1.4,58,storage facilities,United States,,,
#1605,Hur Young-in,1.4,70,"bakeries, fast food",South Korea,,,
#1605,Pyotr Kondrashev,1.4,70,investments,Russia,,,
#1605,Yuriy Kosiuk,1.4,51,agribusiness,Ukraine,,,
#1605,Michael Krasny,1.4,65,retail,United States,,,
#1605,Heikki Kyostila,1.4,73,dental products,Finland,,,
#1605,Philippe Laffont,1.4,51,hedge fund,United States,,,
#1605,Lee Yin Yee,1.4,67,glass,China,,,
#1605,Lei Jufang,1.4,66,pharmaceuticals,China,,,
#1605,James Leininger,1.4,74,medical products,United States,,,
#1605,Solomon Lew,1.4,74,retail,Australia,,,
#1605,Li Ping,1.4,51,storage batteries,Hong Kong,,,
#1605,Li Xuhui,1.4,51,soy sauce,China,,,
#1605,Liu Ming Chung,1.4,56,paper,Brazil,,,
#1605,Kenneth Lo,1.4,80,textiles,United Kingdom,,,
#1605,Anatoly Lomakin,1.4,67,investments,Russia,,,
#1605,Lou Zhongfu,1.4,65,real estate,China,,,
#1605,Brandt Louie,1.4,76,drugstores,Canada,,,
#1605,Ma Xiuhui,1.4,48,LED lighting,China,,,
#1605,George Marcus,1.4,77,real estate,United States,,,
#1605,Willy Michel,1.4,72,medical devices,Switzerland,,,
#1605,Gail Miller,1.4,75,car dealerships,United States,,,
#1605,Kentaro Ogawa,1.4,71,restaurants,Japan,,,
#1605,Niti Osathanugrah,1.4,45,investments,Thailand,,,
#1605,Pan Laican,1.4,-,soy sauce,China,,,
#1605,Karl-Johan Persson,1.4,44,H&M,Sweden,,,
#1605,Tom Persson,1.4,34,H&M,Sweden,,,
#1605,Victor Pinchuk,1.4,58,"steel pipes, diversified",Ukraine,,,
#1605,Murdaya Poo,1.4,78,diversified,Indonesia,,,
#1605,Subhash Runwal,1.4,76,real estate,India,,,
#1605,Nobutada Saji,1.4,73,beverages,Japan,,,
#1605,Thomas Sandell,1.4,58,hedge funds,Sweden,,,
#1605,Fayez Sarofim,1.4,90,money management,United States,,,
#1605,Arnout Schuijff,1.4,51,payments software,Netherlands,,,
#1605,Paulo Setubal Neto,1.4,70,banking,Brazil,,,
#1605,Bhadresh Shah,1.4,67,engineering,India,,,
#1605,Shao Qinxiang,1.4,64,diversified,China,,,
#1605,S.D. Shibulal,1.4,64,software services,India,,,
#1605,Donald Sihombing,1.4,63,construction,Indonesia,,,
#1605,Ron Sim,1.4,60,retail,Singapore,,,
#1605,Jasminder Singh,1.4,68,hotels,United Kingdom,,,
#1605,Stephen Smith,1.4,68,finance and investments,Canada,,,
#1605,Charlotte Soderstrom,1.4,42,H&M,Sweden,,,
#1605,Peter Sperling,1.4,59,education,United States,,,
#1605,Petter Stordalen,1.4,56,hotels,Norway,,,
#1605,Kevin Systrom,1.4,35,Instagram,United States,,,
#1605,Peter Szulczewski,1.4,37,e-commerce,Canada,,,
#1605,Luc Tack,1.4,57,"textile, chemicals",Belgium,,,
#1605,Tang Yan,1.4,40,social media,China,,,
#1605,Jonathan Tisch,1.4,65,"insurance, NFL team",United States,,,
#1605,Wilma Tisch,1.4,92,diversified,United States,,,
#1605,Kenny Troutt,1.4,71,telecom,United States,,,
#1605,Pavel Tykac,1.4,55,coal mines,Czech Republic,,,
#1605,John Van Lieshout,1.4,73,real estate,Australia,,,
#1605,Shamsheer Vayalil,1.4,42,healthcare,India,,,
#1605,Arkady Volozh,1.4,55,search engine,Russia,,,
#1605,Wan Long,1.4,78,food,China,,,
#1605,Wang Chou-hsiong,1.4,78,footwear,Taiwan,,,
#1605,Chris Wanstrath,1.4,34,collaborative software,United States,,,
#1605,Charlotte Colket Weber,1.4,76,Campbell Soup,United States,,,
#1605,Wei Ing-Chou,1.4,66,"food, beverages",Taiwan,,,
#1605,Wei Yin-Chun,1.4,62,"food, beverages",Taiwan,,,
#1605,Wei Yin-Heng,1.4,60,"food, beverages",Taiwan,,,
#1605,Wei Ying-Chiao,1.4,64,"food, beverages",Taiwan,,,
#1605,Dan Wilks,1.4,63,natural gas,United States,,,
#1605,Farris Wilks,1.4,67,natural gas,United States,,,
#1605,Zhao Tao,1.4,53,pharmaceuticals,Singapore,,,
#1605,Zhou Chengjian,1.4,54,fashion retail,China,,,
#1717,Marc Andreessen,1.3,48,venture capital investing,United States,,,
#1717,John Armitage,1.3,59,hedge funds,Ireland,,,
#1717,Brian Armstrong,1.3,36,cryptocurrency,United States,,,
#1717,Joesley Batista,1.3,47,beef processing,Brazil,,,
#1717,Wesley Batista,1.3,46,beef packing,Brazil,,,
#1717,Barbara Benetton,1.3,50,"fashion retail, investments",Italy,,,
#1717,Sabrina Benetton,1.3,45,"fashion retail, investments",Italy,,,
#1717,Hubertus Benteler,1.3,72,auto parts,Germany,,,
#1717,Tomasz Biernacki,1.3,46,supermarkets,Poland,,,
#1717,Bernhard Braun-Luedicke,1.3,42,medical technology,Germany,,,
#1717,Eva Maria Braun-Luedicke,1.3,32,medical technology,Germany,,,
#1717,Friederike Braun-Luedicke,1.3,35,medical technology,Germany,,,
#1717,Hideyuki Busujima,1.3,66,pachinko machines,Japan,,,
#1717,Cai Hongbin,1.3,-,pharmaceuticals,China,,,
#1717,Steve Case,1.3,60,AOL,United States,,,
#1717,Jeffrey Cheah,1.3,74,property,Malaysia,,,
#1717,Chen Jinshi,1.3,56,"construction, real estate",China,,,
#1717,Chey Ki-won,1.3,55,"computer services, telecom",South Korea,,,
#1717,Henry Davis,1.3,68,beef processing,United States,,,
#1717,Darwin Deason,1.3,79,Xerox,United States,,,
#1717,Jamie Dimon,1.3,63,banking,United States,,,
#1717,Du Jiangtao,1.3,49,chemicals,China,,,
#1717,Clement Fayat,1.3,87,construction,France,,,
#1717,Bruce Flatt,1.3,54,money management,Canada,,,
#1717,Donald Foss,1.3,75,auto loans,United States,,,
#1717,Reinold Geiger,1.3,72,beauty products,Austria,,,
#1717,Anne Gittinger,1.3,83,Nordstrom department stores,United States,,,
#1717,Sue Gross,1.3,69,investments,United States,,,
#1717,Surjit Kumar Gupta,1.3,77,electrical equipment,India,,,
#1717,Said Gutseriev,1.3,31,"oil, retail",Russia,,,
#1717,Stelios Haji-Ioannou,1.3,52,EasyJet,Cyprus,,,
#1717,Yusuf Hamied,1.3,82,pharmaceuticals,India,,,
#1717,Ayman Hariri,1.3,41,"construction, investments",Lebanon,,,
#1717,He Xiaopeng,1.3,41,electric vehicles,China,,,
#1717,Ilona Herlin,1.3,54,"elevators, escalators",Finland,,,
#1717,Eduardo Hochschild,1.3,55,mining,Peru,,,
#1717,Huang Li,1.3,56,imaging systems,China,,,
#1717,Huang Wen Tsai,1.3,66,real estate,China,,,
#1717,Archie Hwang,1.3,66,semiconductors,Taiwan,,,
#1717,Mitchell Jacobson,1.3,68,industrial equipment,United States,,,
#1717,Alexander Karp,1.3,51,software firm,United States,,,
#1717,Eugene Kaspersky,1.3,53,software,Russia,,,
#1717,Raghuvinder Kataria,1.3,70,diversified,United Kingdom,,,
#1717,Sergei Katsiev,1.3,61,"retail, wholesale",Russia,,,
#1717,Sidney Kimmel,1.3,91,retail,United States,,,
#1717,Friedrich Knapp,1.3,68,fashion retail,Germany,,,
#1717,Sergei Kolesnikov,1.3,47,building materials,Russia,,,
#1717,Andrei Kosogov,1.3,58,"oil, banking, telecom",Russia,,,
#1717,Yuri Kovalchuk,1.3,67,"banking, insurance, media",Russia,,,
#1717,Lai Jianping,1.3,-,soy sauce,China,,,
#1717,Manfredi Lefebvre d'Ovidio,1.3,66,cruises,Italy,,,
#1717,Li Hongxin,1.3,66,paper & related products,China,,,
#1717,Li Tan,1.3,54,pharmaceuticals,China,,,
#1717,William Li,1.3,44,automobiles,China,,,
#1717,Li Yongxin,1.3,43,education,China,,,
#1717,Liang Feng,1.3,50,manufacturing,China,,,
#1717,K.C. Liu,1.3,65,manufacturing,Taiwan,,,
#1717,Lo Siu-tong,1.3,88,"real estate, hotels",Hong Kong,,,
#1717,"Cargill MacMillan, III.",1.3,59,Cargill,United States,,,
#1717,John MacMillan,1.3,69,Cargill,United States,,,
#1717,Martha MacMillan,1.3,67,Cargill,United States,,,
#1717,William MacMillan,1.3,65,Cargill,United States,,,
#1717,Gary Magness,1.3,65,"cable TV, investments",United States,,,
#1717,Tsuyoshi Matsushita,1.3,48,fitness products,Japan,,,
#1717,Thomas Meyer,1.3,60,apparel retailer,Switzerland,,,
#1717,Eugene Murtagh,1.3,77,building materials,Ireland,,,
#1717,Nguyen Dang Quang,1.3,55,"consumer products, banking",Vietnam,,,
#1717,Ou Zonghong,1.3,49,real estate,China,,,
#1717,Arvind Poddar,1.3,61,tires,India,,,
#1717,Megdet Rahimkulov,1.3,73,investments,Russia,,,
